# Basic macro run statistics:,,,,,,,,,,,,,,,,,,,
# Date and time: 2023-08-14 18:09:28,,,,,,,,,,,,,,,,,,,
# Macro version: 13,,,,,,,,,,,,,,,,,,,
# Channel: 1,,,,,,,,,,,,,,,,,,,
# Cell (ROI) size interval: 5-Infinity um^2,,,,,,,,,,,,,,,,,,,
# Coefficient of variance threshold: 0,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
exp_code,BR_date,strain,medium,time,condition,frame,mean_background,cell_no,patch_density(find_maxima),patch_density(analyze_particles),area_fraction(patch_vs_ROI),length,length_SD,width,width_SD,size,size_SD,mean_patch_intensity,mean_patch_intensity_SD
230811_k,230623,Y1492,SMDGE,24h,control,3,539.4738,10,4.7026,4.8768,23.2657,0.2908,0.09062,0.1976,0.04881,0.04771,0.0274,8152.1984,5069.8358
230811_k,230623,Y1492,SMDGE,24h,control,3,539.4738,11,4.4161,4.5459,30.9192,0.354,0.1129,0.2305,0.06527,0.06802,0.03546,8569.6199,4723.716
230811_k,230623,Y1492,SMDGE,24h,control,3,539.4738,12,5.1737,4.7172,24.1026,0.3092,0.1013,0.2018,0.04536,0.0511,0.02559,8002.5603,4453.24
230811_k,230623,Y1492,SMDGE,24h,control,3,539.4738,13,4.4227,4.5112,24.8238,0.3238,0.09118,0.2115,0.04395,0.05503,0.02197,6294.2152,3966.2338
230811_k,230623,Y1492,SMDGE,24h,control,3,539.4738,14,4.1092,4.0158,24.5494,0.361,0.1208,0.21,0.04161,0.06113,0.02646,7419.0287,4695.6674
230811_k,230623,Y1492,SMDGE,24h,control,3,539.4738,15,4.7063,4.5102,25.5032,0.3261,0.08965,0.2152,0.04013,0.05655,0.0223,5737.1395,3614.9093
230811_k,230623,Y1492,SMDGE,24h,control,3,539.4738,16,5.0298,4.6705,25.7017,0.3101,0.06969,0.2218,0.03554,0.05503,0.01785,8849.1092,4646.531
230811_k,230623,Y1492,SMDGE,24h,control,3,539.4738,17,4.3665,4.5849,24.1472,0.3186,0.09157,0.2057,0.04261,0.05267,0.02063,6842.615,3435.0785
230811_k,230623,Y1492,SMDGE,24h,control,3,539.4738,18,4.6235,5.0639,27.0152,0.3073,0.08635,0.2117,0.04843,0.05335,0.02441,8046.1765,5153.5854
230811_k,230623,Y1492,SMDGE,24h,control,3,539.4738,19,4.6756,4.4529,23.9427,0.3329,0.102,0.2004,0.0475,0.05377,0.02268,7379.0024,3885.5487
230811_k,230623,Y1492,SMDGE,24h,control,3,539.4738,20,4.3725,4.727,28.3128,0.3375,0.1243,0.2168,0.04757,0.0599,0.03231,6356.5097,3809.7285
230811_k,230623,Y1492,SMDGE,24h,control,3,539.4738,21,3.5926,4.258,25.3567,0.3415,0.1265,0.2112,0.05126,0.05955,0.03166,7104.1778,4337.2395
230811_k,230623,Y1492,SMDGE,24h,control,3,539.4738,22,4.9392,4.7334,26.9231,0.3359,0.1137,0.2082,0.04791,0.05688,0.02821,8205.0512,5970.0639
230811_k,230623,Y1492,SMDGE,24h,control,3,539.4738,23,5.3588,4.8716,28.8806,0.3451,0.1237,0.2043,0.05415,0.05928,0.03798,10217.1943,5197.3923
230811_k,230623,Y1492,SMDGE,24h,control,3,539.4738,24,4.2559,4.1741,26.5547,0.3445,0.1053,0.2285,0.03901,0.06362,0.02745,5637.2126,3784.6408
230811_k,230623,Y1492,SMDGE,24h,control,3,539.4738,25,5.2939,5.4765,31.6555,0.3267,0.09035,0.2182,0.04632,0.0578,0.02552,7115.1367,3729.682
230811_k,230623,Y1492,SMDGE,24h,control,3,539.4738,26,4.6587,4.9498,19.0901,0.266,0.0682,0.1799,0.04343,0.03857,0.01737,7344.6377,4153.2651
230811_k,230623,Y1492,SMDGE,24h,control,3,539.4738,27,5.2298,5.0759,28.2752,0.3401,0.09735,0.2048,0.04137,0.0557,0.02178,7659.0417,4362.4177
230811_k,230623,Y1492,SMDGE,24h,control,3,539.4738,28,3.628,3.9908,20.9707,0.3176,0.08186,0.2036,0.04359,0.05255,0.02195,6964.825,5901.8856
230811_k,230623,Y1492,SMDGE,24h,control,3,539.4738,29,4.2574,4.5412,22.1739,0.3102,0.1026,0.1944,0.04385,0.04883,0.02258,8411.6442,4344.9232
230811_k,230623,Y1492,SMDGE,24h,control,3,539.4738,30,5.0191,5.1759,28.9284,0.315,0.08274,0.2191,0.05153,0.05589,0.02276,7559.5029,4010.7667
230811_k,230623,Y1492,SMDGE,24h,control,3,539.4738,31,4.4773,4.4773,19.8903,0.2944,0.07912,0.1871,0.0372,0.04442,0.01767,7816.9852,6532.7421
230811_k,230623,Y1492,SMDGE,24h,control,3,539.4738,32,4.5262,4.2176,19.8865,0.2841,0.08423,0.2068,0.04125,0.04715,0.01891,6463.4533,4599.3994
230811_k,230623,Y1492,SMDGE,24h,control,4,605.2122,1,5.3711,4.5448,26.7722,0.3244,0.1027,0.2191,0.05987,0.05891,0.03557,6806.7878,3479.9503
230811_k,230623,Y1492,SMDGE,24h,control,4,605.2122,2,4.5167,4.6088,20.9545,0.2856,0.06786,0.1969,0.04217,0.04547,0.01879,5153.7903,3653.6097
230811_k,230623,Y1492,SMDGE,24h,control,4,605.2122,3,4.6232,4.6232,23.7394,0.3051,0.08025,0.2088,0.0397,0.05135,0.02092,5702.2436,3180.5547
230811_k,230623,Y1492,SMDGE,24h,control,4,605.2122,4,4.2806,4.3877,25.4754,0.3266,0.07197,0.2196,0.05358,0.05806,0.02448,5356.1948,3216.9526
230811_k,230623,Y1492,SMDGE,24h,control,4,605.2122,5,5.1245,5.0199,29.6379,0.3376,0.1202,0.2136,0.04806,0.05904,0.03051,5911.6,3288.2053
230811_k,230623,Y1492,SMDGE,24h,control,4,605.2122,6,5.5011,4.9772,24.7994,0.3061,0.09529,0.1992,0.04065,0.04983,0.02366,5101.6013,2745.6219
230811_k,230623,Y1492,SMDGE,24h,control,4,605.2122,8,4.8838,4.7675,24.0827,0.3056,0.06855,0.2052,0.04332,0.05051,0.01871,7479.3645,3756.4158
230811_k,230623,Y1492,SMDGE,24h,control,4,605.2122,9,4.5757,4.2706,24.1745,0.3317,0.1029,0.2126,0.0413,0.05661,0.02485,4069.3207,2601.5857
230811_k,230623,Y1492,SMDGE,24h,control,4,605.2122,10,5.2662,4.6342,24.3627,0.3132,0.08854,0.2055,0.04256,0.05257,0.02417,5988.856,3282.1114
230811_k,230623,Y1492,SMDGE,24h,control,4,605.2122,11,5.6227,5.6227,23.3419,0.2712,0.07468,0.1874,0.05534,0.04151,0.02172,6910.8971,2623.5684
230811_k,230623,Y1492,SMDGE,24h,control,4,605.2122,12,5.0297,4.5002,29.3593,0.3664,0.1085,0.2211,0.03372,0.06524,0.02493,6420.24,3040.4019
230811_k,230623,Y1492,SMDGE,24h,control,4,605.2122,13,4.7329,5.0709,33.5577,0.352,0.1102,0.2279,0.05936,0.06618,0.03546,7243.4554,3520.3907
230811_k,230623,Y1492,SMDGE,24h,control,4,605.2122,14,4.7237,4.7237,31.7821,0.3519,0.1214,0.2323,0.05412,0.06728,0.03677,7131.8937,3436.6819
230811_k,230623,Y1492,SMDGE,24h,control,4,605.2122,15,3.9386,4.0657,23.7446,0.3507,0.1161,0.2021,0.0597,0.0584,0.03098,6118.4061,3721.9971
230811_k,230623,Y1492,SMDGE,24h,control,4,605.2122,16,4.9017,5.094,30.1237,0.3375,0.121,0.2091,0.06843,0.05914,0.03665,6589.5907,3618.4432
